"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","year","t1","t2","good"
"316","Call hurts #Cubs
Strike 3 should be ball 3
Top 8 Socolovich vs Schwarber
28% call same
1.4in from edge https://t.co/j2s59tglTf",FALSE,2,NA,2017-04-06 20:23:13,FALSE,NA,"850081482764845056",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",3,FALSE,FALSE,NA,NA,"2017","Socolovich vs Sc","Socolovich","hurts"
"317","Call hurts #Cubs
Strike 1 should be ball 1
Top 7 Socolovich vs Heyward
20% call same
1.9in from edge https://t.co/dbxKRI2uHI",FALSE,2,NA,2017-04-06 20:07:58,FALSE,NA,"850077641688449024",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Socolovich vs He","Socolovich","hurts"
"318","Call helps #Cubs
Ball 4 should be strike 3
Top 7 Cecil vs Jay
18% call same
2.1in from edge https://t.co/51oBxj4Tfv",FALSE,4,NA,2017-04-06 19:54:04,FALSE,NA,"850074146096676866",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Cecil vs Jay
18%","Cecil","helps"
"319","Call helps #Cubs
Strike 1 should be ball 2
Bot 5 Lackey vs Carpenter
22% call same
1.6in from edge https://t.co/PG7b3Pdhlu",FALSE,0,NA,2017-04-06 19:16:42,FALSE,NA,"850064742324596737",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lackey vs Carpen","Lackey","helps"
"320","Call hurts #Cubs
Strike 1 should be ball 2
Top 4 Lynn vs Rizzo
8% call same
2.9in from edge https://t.co/1MjKjSKtLS",FALSE,1,NA,2017-04-06 18:45:49,FALSE,NA,"850056970883264514",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",3,FALSE,FALSE,NA,NA,"2017","Lynn vs Rizzo
8%","Lynn","hurts"
"321","Call hurts #Cubs
Strike 2 should be ball 3
Top 2 Lynn vs Zobrist
12% call same
2.4in from edge https://t.co/4qsbaUBCOG",FALSE,2,NA,2017-04-06 18:11:27,FALSE,NA,"850048321263730689",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",2,FALSE,FALSE,NA,NA,"2017","Lynn vs Zobrist
","Lynn","hurts"
"322","Call hurts #Cubs
Ball 4 should be strike 2
Bot 1 Lackey vs Wong
4% call same
4.4in from edge https://t.co/1yPQXb7GFa",FALSE,4,NA,2017-04-06 18:06:37,FALSE,NA,"850047105439850496",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",7,FALSE,FALSE,NA,NA,"2017","Lackey vs Wong
4","Lackey","hurts"
"323","Call helps #Cubs
Strike 1 should be ball 1
Bot 1 Lackey vs Carpenter
18% call same
1.9in from edge https://t.co/pTS7WiHGBc",FALSE,2,NA,2017-04-06 17:55:50,FALSE,NA,"850044388931751936",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lackey vs Carpen","Lackey","helps"
"324","Call hurts #Cubs
Ball 1 should be strike 1
Bot 7 Uehara vs Wong
6% call same
4.4in from edge https://t.co/9ph5FOEgh7",FALSE,1,NA,2017-04-05 02:26:09,FALSE,NA,"849448040155021312",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",2,FALSE,FALSE,NA,NA,"2017","Uehara vs Wong
6","Uehara","hurts"
"325","Call helps #Cubs
Ball 1 should be strike 1
Top 7 Cecil vs Schwarber
6% call same
4.4in from edge https://t.co/VlexpeHjCz",FALSE,5,NA,2017-04-05 02:23:17,FALSE,NA,"849447317354708993",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",3,FALSE,FALSE,NA,NA,"2017","Cecil vs Schwarb","Cecil","helps"
